grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude,zipcode
61,Whole Foods Market,"11920 Domain Dr, Austin, TX 78758",3.5,30.406373,-97.720033,78758
62,H-E-B,"6900 Brodie Ln, Austin, TX 78745",3.5,30.21728325,-97.83182526,78745
63,Hyridge Mart,"3503 Hyridge Dr, Austin, TX 78759",4.5,30.373924,-97.740928,78759
64,H-E-B,"10710 Research Blvd, Ste 200, Austin, TX 78759",3,30.39854444,-97.748351,78759
65,Lamar Food Store,"1222 S Lamar Blvd, Austin, TX 78704",5,30.25420952,-97.76306152,78704
66,Madina Market Halal Meat and Grocery,"9200 N Lamar Blvd, Austin, TX 78753",4,30.36122704,-97.69855499,78753
67,Walmart Supercenter,"2525 W Anderson Ln, Austin, TX 78757",2.5,30.35576764,-97.73451887,78757
68,Fresh Plus Grocery,"408 E 43rd St, Ste B, Austin, TX 78751",4,30.30499134,-97.72636761,78751
69,H-E-B,"1434 Wells Branch Pkwy, Pflugerville, TX 78660",2.5,30.442713,-97.664119,78660
70,Mosaic Market,"4600 Mueller Blvd, Ste 1031, Austin, TX 78723",4.5,30.2988211,-97.7072839,78723
71,H-E-B,"12407 N Mopac Expy, Austin, TX 78758",3,30.41743371,-97.70290144,78758
72,Walmart Supercenter,"1030 Norwood Park Blvd, Austin, TX 78753",1.5,30.33886613,-97.68988987,78753
73,Royal Blue Grocery - Austin,"1629 E 6th St, Austin, TX 78702",3,30.26241186,-97.72518114,78702
74,Brew Market & Cafe,"3842 Airport Blvd, Austin, TX 78722",4.5,30.28893453,-97.70774278,78722
75,Jester Market,"6507 Jester Blvd, Ste 101, Austin, TX 78750",4,30.37019081,-97.80010677,78750
76,H-E-B,"500 Canyon Ridge Dr, Austin, TX 78753",3,30.405418,-97.67175263,78753
77,JD's Market,"7310 E Riverside Dr, Austin, TX 78741",3,30.22084591,-97.69375907,78741
78,Lamexicana Supermercado,"14236 Fm 969, Austin, TX 78728",3,30.24872,-97.584159,78728
79,The Grove Market,"2601 Perseverance Dr, Austin, TX 78731",4,30.31786022,-97.7524503,78731
80,Randalls,"8040 Mesa Dr, Austin, TX 78731",3,30.3714899,-97.75810218,78731
81,Arlan's Market,"7108 Woodrow Ave, Austin, TX 78757",3.5,30.34301105,-97.72561127,78757
82,H-E-B,"6607 S Ih 35, Austin, TX 78744",2,30.49357721,-97.92294502,78744
83,Whole Foods Market,"9607 Research Blvd, Ste 300, Austin, TX 78759",3.5,30.38923213,-97.74154794,78759
84,Mom's Taste,"6613 Airport Blvd, Austin, TX 78752",4.5,30.33096,-97.71514,78752
85,The Shuk,"13450 Research Blvd, Ste 229, Austin, TX 78750",5,30.4469362,-97.79143117,78750
86,Orange Market 2,"2401 San Gabriel St, Ste 200, Austin, TX 78705",3,30.28842,-97.74746,78705
87,The Austinite Market - Barton Springs,"1017 Barton Springs Rd, Austin, TX 78704",4,30.25994,-97.75542,78704
88,H-E-B,"7901 US-290, Austin, TX 78736",3.5,30.22762706,-97.88786126,78736
89,Barton Hills Market,"1220 Barton Hills Dr, Austin, TX 78704",4,30.26169,-97.77508,78704
90,Marigold Market and Cafe,"7415 Southwest Pkwy, Bldg 6, Ste 100, Austin, TX 78735",4.5,30.25481909,-97.86695657,78735
91,ALDI,"1415 Fm 685 Rd, Pflugerville, TX 78660",3.5,30.45012394,-97.60469328,78660
92,Whole Foods Market,"4301 W William Cannon, Austin, TX 78749",4,30.22150627,-97.84118178,78749
93,épicerie ,"2307 Hancock Dr, Austin, TX 78756",4,30.32452583,-97.74367523,78756
94,La Michoacana,"6908 Cameron Rd, Austin, TX 78752",3.5,30.32472278,-97.69358093,78752
95,Cork & Brew Market,"2700 S Congress Ave, Austin, TX 78704",4.5,30.23542,-97.75681,78704
96,Royal Blue Grocery,"241 W 3rd St, Austin, TX 78701",4,30.265616,-97.7459139,78701
97,Walmart Supercenter,"5017 W Hwy 290, Austin, TX 78735",2.5,30.23222982,-97.82327077,78735
98,Westlake Grocery,"96 Redbud Trl, West Lake Hills, TX 78746",3.5,30.29225,-97.79779,78746
99,H-E-B Plus,"11521 FM-620 N, Austin, TX 78726",3.5,30.4546577,-97.82600999,78726
100,Foxtrot,"1804 S 1st St, Austin, TX 78704",3.5,30.24716,-97.75617,78704
101,JD's Super Market,"9111 Fm 812, Austin, TX 78719",2,30.16030236,-97.68677093,78719
102,Quinta Caporales Meat Market,"730 W Stassney Ln, Ste 105, Austin, TX 78745",4.5,30.209724,-97.782669,78745
103,Speedway Foodmart,"104 E 31st St, Austin, TX 78705",4,30.29519,-97.73654,78705
104,Mí Casa Market,"11700 Dessau Rd, Austin, TX 78754",3.5,30.376633,-97.659807,78754
105,Second Street Market,"200 San Jacinto Blvd, Austin, TX 78701",3,30.26369,-97.74193,78701
106,H-E-B,"8801 S Congress Ave, Austin, TX 78745",3.5,30.169096,-97.786775,78745
107,Walmart Supercenter,"3701 N Main St, Taylor, TX 76574",1.5,30.59861488,-97.41819827,76574
