rest_id,rest_name,rest_address,rest_ratings,latitude,longitude,zipcode
113,Lee’s Kitchen + Cocktails,"701 S Capital Of Tx Hwy, Ste G700, West Lake Hills, TX 78746",5,30.28992038,-97.82719318,78746
114,Pecan Square Cafe,"1200 W 6th St, Ste B, Austin, TX 78703",4,30.27311679,-97.75724508,78703
115,Numero28,"452 W 2nd St, Austin, TX 78701",4,30.26566,-97.74841,78701
116,Titaya's Thai Cuisine,"5501 N Lamar Blvd, Ste C101, Austin, TX 78751",4,30.32360519,-97.72736819,78751
117,TraphouseATX,"310 Colorado St, Austin, TX 78701",4,30.266269,-97.745228,78701
118,Tweedy's,"2908 Fruth St, Austin, TX 78705",5,30.295514,-97.74173,78705
119,Golden Tiger,"1816 E 6th St, Austin, TX 78702",4,30.261993,-97.7226715,78702
120,Jjim Korean Braised BBQ,"1100 S Lamar Blvd, Ste 2140, Austin, TX 78704",4.5,30.25576,-97.76252,78704
121,Hold Out Brewing,"1208 W 4th St, Austin, TX 78703",4,30.271378,-97.758904,78703
122,Holiday on 7th,"5020 E 7th St, Austin, TX 78702",4.5,30.2537018,-97.6976313,78702
123,Meat & Bread,"360 Nueces St, Ste 20, Austin, TX 78701",5,30.26707466,-97.74983827,78701
124,Domo Alley Gato Tatsu-Ya,"1606 E 6th St, Austin, TX 78702",4,30.26310552,-97.72626063,78702
125,Uchibā,"601 W 2nd St, Austin, TX 78701",4.5,30.2658,-97.74998,78701
126,Prim and Proper,"1007 S Congress Ave, Ste 120, Austin, TX 78704",4.5,30.25422464,-97.74761894,78704
127,Picnik - Burnet Road,"4801 Burnet Rd, Austin, TX 78756",4,30.3189,-97.73897,78756
128,Revelry Kitchen + Bar,"1410 E 6th St, Austin, TX 78702",4,30.2637173,-97.72772209,78702
129,Fabrik - Austin,"1701 E Martin Luther King Jr Blvd, Ste 102, Austin, TX 78702",5,30.279202,-97.722964,78702
130,RedFarm,"201 W 3rd St, Austin, TX 78701",4,30.26563383,-97.74543609,78701
131,Hula Hut,"3825 Lake Austin Blvd, Austin, TX 78703",3.5,30.29471208,-97.78439585,78703
132,Bat City Pies,"1505 Town Creek Dr, Austin, TX 78741",5,30.241716,-97.726887,78741
133,Jeffrey's,"1204 W Lynn St, Austin, TX 78703",4,30.28036214,-97.75907211,78703
134,Sammie’s Italian,"807 W 6th St, Austin, TX 78703",4,30.27019,-97.75102,78703
135,888 Pan Asian Restaurant,"2400 E Oltorf St, Ste 1A, Austin, TX 78741",4,30.22965592,-97.73000412,78741
136,Dai Due,"2406 Manor Rd, Ste A, Austin, TX 78722",4,30.28488713,-97.71678397,78722
137,Industry - Eastside,"1211 E 5th St, Ste 150, Austin, TX 78702",4,30.2629956,-97.73012466,78702
138,NADC Burger,"85 Rainey St, Austin, TX 78701",4,30.259519,-97.738185,78701
139,68 Degrees Kitchen,"2401 Lake Austin Blvd, Austin, TX 78703",4,30.27786,-97.7729,78703
140,ARTIPASTA,"6406 N Interstate 35 Frontage Rd, Ste 2510, Austin, TX 78752",4.5,30.32530101,-97.70749083,78752
141,Daiboku,"609 W 29th St, Austin, TX 78705",4.5,30.29543757,-97.74365142,78705
142,Ling Wu Asian Restaurant,"7415 Southwest Pkwy, Austin, TX 78735",4,30.2565206,-97.8704907,78735
143,El Alma South,"4521 Westgate Blvd, Austin, TX 78745",4.5,30.23169,-97.80013,78745
144,Tsuke Edomae,"4600 Mueller Blvd, Ste 1035, Austin, TX 78723",5,30.298973,-97.70816,78723
145,Juliet Italian Kitchen,"1500 Barton Springs Rd, Austin, TX 78704",4,30.26164582,-97.76005464,78704
146,Lucky Robot,"1303 S Congress Ave, Austin, TX 78704",4,30.25085148,-97.74900629,78704
147,ATX Cocina,"110 San Antonio St, Ste 170, Austin, TX 78701",4,30.26494587,-97.74925853,78701
148,Choo Sando Omakase,"5222 Burnet Rd, Ste 535, Austin, TX 78758",4.5,30.32468184,-97.7403971,78758
149,WU Chow - North Lamar,"3800 N Lamar Blvd, Ste 170, Austin, TX 78756",4,30.305832,-97.743182,78756
150,True Food Kitchen,"222 W Ave, Ste HR100, Austin, TX 78701",4.5,30.26751023,-97.75199286,78701
151,Justine's Brasserie,"4710 E 5th St, Austin, TX 78702",4,30.253236,-97.700576,78702
152,South African Food Affair,"71 Rainey St, Austin, TX 78701",4.5,30.25812,-97.73869,78701
153,The Grove Wine Bar & Kitchen,"800 W 6th St, Ste 100, Austin, TX 78701",4,30.27053,-97.750899,78701
154,Kalimotxo,"607 W 3rd St, Ste 105, Austin, TX 78701",4,30.26677752,-97.74938708,78701
155,Stella San Jac,"310 East 5th St, Austin, TX 78701",4,30.26656361,-97.74057563,78701
156,Lou’s - Barton Springs,"1608 Barton Springs Rd, Austin, TX 78704",4,30.2624471,-97.7616614,78704
157,Colleen's Kitchen,"1911 Aldrich St, Ste 100, Austin, TX 78723",4,30.2984,-97.704748,78723
158,Jade Restaurant,"3801 N Capital Of Texas Hwy, C200, Austin, TX 78746",4,30.3352979,-97.804464,78746
159,Koriente,"621 E 7th St, Austin, TX 78701",4.5,30.267,-97.73597,78701
160,Culinary Dropout,"11721 Rock Rose, Ste 100, Austin, TX 78758",4,30.403437,-97.721694,78758
161,Craft Omakase,"4400 N Lamar Blvd, Ste 102, Austin, TX 78756",5,30.312563,-97.738624,78756
162,Two Hands,"1011 South Congress Ave, Ste 170, Austin, TX 78704",4,30.25357919,-97.74792418,78704
163,The Grove Wine Bar & Kitchen,"6317 Bee Caves Rd, Austin, TX 78746",4,30.29631849,-97.83285499,78746
164,Geraldine's,"605 Davis St, Austin, TX 78701",3.5,30.26005795,-97.73925847,78701
165,Oakmont Food,"1106 W 38th St, Austin, TX 78705",4,30.306147,-97.744355,78705
166,Jewboy Sub Shop,"6701 Burnet Rd, Ste A3, Austin, TX 78757",4.5,30.3428948,-97.73830716,78757
167,Café No Sé,"1603 S Congress Ave, Austin, TX 78704",4,30.24711909,-97.75042803,78704
168,Marufuku Ramen,"1900 Aldrich St, Ste 180, Austin, TX 78723",4.5,30.298142,-97.705115,78723
169,Bacalar,"44 East Ave, Ste 100, Austin, TX 78701",4,30.25575297,-97.73899577,78701
170,Saffron - South,"3201 Bee Cave Rd, Ste 148, Austin, TX 78746",4.5,30.273408,-97.80037,78746
171,Lazarus Brewing,"1902 E 6th St, Austin, TX 78702",4.5,30.26169,-97.72204,78702
172,Mama Kong Cambodian,"2211 Webberville Rd, Austin, TX 78702",5,30.26181,-97.71642,78702
173,Il Brutto,"1601 E 6th St, Austin, TX 78702",4,30.26282047,-97.72633188,78702
174,Bufalina Due,"6555 Burnet Rd, Austin, TX 78757",4,30.34135607,-97.73850519,78757
175,De Nada Cantina,"4715 E Cesar Chavez St, Austin, TX 78702",4.5,30.251447,-97.702184,78702
176,Old Thousand,"1000 E 11th St, Ste 150, Austin, TX 78702",4,30.26959554,-97.7296569,78702
177,Arturo's Underground Cafe,"314 W 17th St, Austin, TX 78701",4.5,30.2797094,-97.74192,78701
178,Devil May Care,"500 W 6th St, Austin, TX 78701",4,30.26955,-97.74751,78701
179,Monk's Momo,"318 E 5th St, Austin, TX 78701",4.5,30.26653,-97.74005,78701
180,Patrizi's,"1705 Cuernavaca, Austin, TX 78733",4.5,30.34027,-97.86307,78733
181,Tumble 22,"2304 Lake Austin Blvd, Austin, TX 78703",4,30.27792538,-97.77173683,78703
182,Spread & Co,"1601 W 38th St, Ste 1, Austin, TX 78731",4.5,30.3086982,-97.7504555,78731
183,KAPATAD Kitchen and Cafe,"3742 Far W Blvd, Ste 113, Austin, TX 78731",4.5,30.35636386,-97.75849581,78731
184,Chi'Lantro,"5222 Burnet Rd, Austin, TX 78756",4,30.32455931,-97.74005587,78756
185,Super Thai Cuisine,"2024 S Lamar Blvd, Austin, TX 78704",4.5,30.24915,-97.76841,78704
186,Birdie's,"2944 E 12th St, Austin, TX 78702",4,30.27645,-97.70456,78702
187,Yuki Handroll Bar,"6317-3 FM2244, Ste 330, Austin, TX 78746",4.5,30.29558743,-97.83178288,78746
188,DosiROK,"5610 North Interstate  35, Austin, TX 78751",5,30.31616649,-97.7084916,78751
189,Drop Kick,"1630 E 6th St, Ste 100, Austin, TX 78702",4,30.262616,-97.724536,78702
190,Revelry on the Boulevard,"6215 N Lamar Blvd, Austin, TX 78752",4.5,30.3307413,-97.72302349,78752
191,Truluck's Ocean's Finest Seafood & Crab,"300 Colorado St, Ste 100, Austin, TX 78701",4.5,30.265954,-97.745301,78701
192,Lamberts Downtown Barbecue,"401 W 2nd St, Austin, TX 78701",4,30.26523508,-97.74790507,78701
193,The Cavalier ATX,"2400 Webberville Rd, Ste A, Austin, TX 78702",4,30.262942,-97.714676,78702
194,BussinBuns,"1805 Airport Blvd, Austin, TX 78702",5,30.28154514,-97.702829,78702
195,Foxy's Proper Pub,"201 Brazos St, Austin, TX 78701",4,30.264078,-97.742585,78701
196,Nervous Charlie's Bagels,"5501 N Lamar Blvd, Ste B101, Austin, TX 78751",4.5,30.32317,-97.72758,78751
197,Steamies Dumplings,"6929 Airport Blvd, Austin, TX 78752",4.5,30.33866959,-97.71820627,78752
198,DeSano Pizzeria Napoletana,"301 Lavaca St, Ste 200, Austin, TX 78701",4.5,30.26629006,-97.745975,78701
199,Baldinucci Pizza Romana,"3300 Bee Caves Rd, Ste 110, West Lake Hills, TX 78746",4.5,30.27514817,-97.80066552,78746
200,Eberly,"615 S Lamar Blvd, Austin, TX 78704",4,30.258668,-97.758881,78704
201,Troy ATX,"8105 Mesa Dr, Ste A, Austin, TX 78759",4.5,30.3717533,-97.75642246,78759
202,JewBoy Sliders,"1111 E 6th St, Austin, TX 78702",4.5,30.26433454,-97.73065075,78702
203,Another Broken Egg Cafe,"6406 N Interstate 35 Frontage Rd, Ste 1600, Austin, TX 78752",4.5,30.32630147,-97.70780583,78752
204,Gina's on Congress,"314 Congress Ave, Austin, TX 78701",5,30.265866,-97.743919,78701
205,Licha's Cantina,"1306 E 6th St, Austin, TX 78702",4,30.264108,-97.728966,78702
206,1417 French Bistro,"1417 S 1st St, Austin, TX 78704",4,30.25006604,-97.75453119,78704
207,Nixta Taqueria,"2512 E 12th St, Austin, TX 78702",4.5,30.27496,-97.71324,78702
208,Jacoby's Restaurant & Mercantile,"3235 E Cesar Chavez St, Austin, TX 78702",4,30.2515,-97.70737,78702
209,Murray's Tavern,"2316 Webberville Rd, Austin, TX 78702",5,30.26275248,-97.71528028,78702
210,Yeni’s Fusion,"6507 Burnet Rd, Austin, TX 78757",4.5,30.34023,-97.73859,78757
211,P6,"111 E Cesar Chavez St, Austin, TX 78701",3.5,30.26278,-97.74396,78701
212,Eldorado Cafe,"3300 W Anderson Ln, Austin, TX 78757",4.5,30.362224,-97.74235715,78757
213,Ramen Tatsu-Ya,"1600 E 6th St, Austin, TX 78702",4,30.26326,-97.72624,78702
214,Underdog,"1600 S 1st St, Ste 100, Austin, TX 78704",4,30.24887,-97.755709,78704
215,Xian Sushi and Noodle - Mueller,"1801 E 51st St, Ste C370, Bldg C370, Austin, TX 78723",4,30.30309152,-97.69916454,78723
216,Playground ATX,"5001 Airport Blvd, Austin, TX 78751",5,30.3111864,-97.7150455,78751
217,Hideaway Kitchen & Bar,"4323 S Interstate 35, Austin, TX 78744",4,30.21180396,-97.75300058,78744
218,Hawaiian Bros Island Grill,"8023 Burnet Rd, Austin, TX 78757",4,30.35914131,-97.72965053,78757
219,Veracruz All Natural,"111 E Cesar Chavez St, Austin, TX 78701",4,30.262738,-97.743737,78701
220,Nosh & Bevvy,"8440 Burnet Rd, Austin, TX 78757",4,30.36547721,-97.72888854,78757
221,REVUE,"101 Red River St, Austin, TX 78701",4,30.26222356,-97.73837281,78701
222,KG BBQ,"3108 Manor Rd, Austin, TX 78723",4.5,30.28681,-97.70528,78723
223,Rice Ball,"6929 Airport Blvd, Austin, TX 78752",4,30.33866556,-97.71820024,78752
224,Juan In A Million,"2300 E Cesar Chavez St, Austin, TX 78702",4,30.25526606,-97.71905929,78702
225,J’s Hibachi,"43 N IH-35 Service Rd, Austin, TX 78702",4,30.2551044,-97.7362835,78702
226,Otherside Deli and Sub,"1104 W 34th St, Austin, TX 78705",4.5,30.30346,-97.74572,78705
227,Bouldin Acres,"2027 S Lamar Blvd, Austin, TX 78704",4,30.24826991,-97.76866492,78704
228,Love C Spot,"2027 E Cesar Chavez St, Austin, TX 78702",5,30.2560832,-97.7223636,78702
229,Austin Daily Press,"1900 E Martin Luther King Blvd, B, Austin, TX 78702",4,30.28021766,-97.72110933,78702
230,Fresa's - 360 and Westlake Dr,"3600 N Capital of Texas Hwy, Ste A110, Austin, TX 78746",4.5,30.33438975,-97.80814742,78746
231,Tommy Want Wingy,"94 Rainey St, Austin, TX 78701",4,30.26069027,-97.73829919,78701
232,bb.q Chicken - Austin,"6929 Airport Blvd, Ste 158, Austin, TX 78752",4,30.33719,-97.71732,78752
233,L'Oca d'Oro,"1900 Simond Ave, Austin, TX 78723",4,30.29726271,-97.704674,78723
234,WEH? Asian Fusion,"1023 Springdale Rd, Bldg 1 Ste I, Austin, TX 78721",5,30.26764074,-97.69392514,78721
235,Bamboo House Austin,"7010 Easy Wind Dr, Austin, TX 78752",4,30.33919,-97.71833,78752
236,Zoé Tong,"1530 Barton Springs Rd, Austin, TX 78704",4.5,30.262104,-97.761259,78704
237,P Thai’s Khao Man Gai,"8557 Research Blvd, Ste 130, Austin, TX 78758",4.5,30.36152178,-97.7152364,78758
238,Analog Bar + Bites,"301 West 17th St, Austin, TX 78701",4,30.2792498,-97.7416591,78701
239,Forthright,"35 Brazos St, Austin, TX 78701",4,30.26273857,-97.74310461,78701
240,Vespaio Ristorante,"1610 S Congress Ave, Austin, TX 78704",4,30.24735,-97.75074,78704
241,Turf N Surf Po' Boy,"407 Lavaca St, Austin, TX 78701",4.5,30.2670779,-97.7456564,78701
242,Josephine House,"1601 Waterson Ave, Austin, TX 78703",3.5,30.2805822,-97.759015,78703
243,Tatsumi Sushi,"2700 W Anderson Ln, Ste 212, Austin, TX 78757",4.5,30.359108,-97.734542,78757
244,La Volta Pizza Club,"900 W 10th St, Austin, TX 78703",4.5,30.27501,-97.751686,78703
245,Sapori Italian Roots,"800 Brazos St, Ste 215, Austin, TX 78701",5,30.269996,-97.741054,78701
246,Rayan Lebanese Cuisine,"1012 Clermont Ave, Austin, TX 78702",4.5,30.25498,-97.73608,78702
247,Salt & Time,"1912 E 7th St, Austin, TX 78702",3.5,30.26266,-97.72113,78702
248,Bureau De Poste,"4300 Speedway, Austin, TX 78751",4,30.30706221,-97.7299159,78751
249,Julie's Noodles,"8557 Research Blvd, Ste 110, Austin, TX 78758",4,30.36114062,-97.71579572,78758
250,Fukumoto Sushi & Yakitori,"514 Medina St, Austin, TX 78702",4.5,30.26470513,-97.73169535,78702
251,Renuka’s Kitchen,"1023 Springdale Rd, Unit 1, Austin, TX 78721",5,30.267597,-97.6926715,78721
252,Mongers Market + Kitchen,"4119 Guadalupe St, Austin, TX 78751",4,30.30693,-97.73519,78751
253,Paprika ATX,"6519 N Lamar Blvd, Austin, TX 78752",5,30.333323,-97.721302,78752
254,NADC Burger,"1007 E 6th St, Austin, TX 78702",3.5,30.26482,-97.73221,78702
255,Ramen Tatsu-Ya,"1234 S Lamar Blvd, Austin, TX 78704",4,30.25389979,-97.7631826,78704
256,The Well Westlake,"6317 Bee Caves Rd, Austin, TX 78746",4.5,30.29614353,-97.8328859,78746
257,Fixe Austin's Southern House,"500 W 5th St, Austin, TX 78701",4,30.26853,-97.74773,78701
258,Chi'Lantro,"1509 S Lamar Blvd, Austin, TX 78704",4,30.25191476,-97.76376701,78704
259,Nifty Fifty Diner,"4110 Guadalupe St, Austin, TX 78751",4.5,30.30765,-97.73534,78751
260,The Grub House,"519 E 7th St, Austin, TX 78701",4.5,30.26729198,-97.73738554,78701
