city,state,zipcode,address,price,bedrooms,bathrooms,square_foot,latitude,longitude,sale_amount,sale_transaction_date
DEL VALLE,TX,78617,13508 COOMES DR,289917.0,4,2.0,1748.0,30.170592,-97.61141,277777.0,2022-11-22
DEL VALLE,TX,78617,6713 PANDA ROYLE DR,324589.0,4,3.0,2702.0,30.160916,-97.638872,279619.0,2021-11-17
DEL VALLE,TX,78617,12905 PERCONTE DR,295600.0,3,2.0,1839.0,30.168706,-97.620667,295488.0,2021-04-02
DEL VALLE,TX,78617,5800 WELSH WAY,331670.0,3,2.0,1839.0,30.168643,-97.617818,352500.0,2022-04-14
DEL VALLE,TX,78617,12537 LA PAZ LN,386263.0,4,2.0,2560.0,30.166437,-97.62808,381250.0,2022-06-02
DEL VALLE,TX,78617,5001 LEXINGTON MEADOW LN,367076.0,3,2.0,2002.0,30.177602,-97.617267,215531.0,2020-08-21
DEL VALLE,TX,78617,5005 LEXINGTON MEADOW LN,423918.0,4,2.0,2234.0,30.177546,-97.617397,413250.0,2023-03-06
DEL VALLE,TX,78617,5016 LEXINGTON MEADOW LN,441880.0,4,2.0,3382.0,30.177761,-97.618123,216375.0,2020-10-15
DEL VALLE,TX,78617,5033 LEXINGTON MEADOW LN,369194.0,3,2.0,2002.0,30.177124,-97.618302,399188.0,2022-05-27
DEL VALLE,TX,78617,5044 IRVINE LN,451804.0,4,2.0,3390.0,30.177704,-97.61972,311063.0,2020-04-09
DEL VALLE,TX,78617,5516 THUNDER GULCH DR,317744.0,3,2.0,2009.0,30.173285,-97.611481,381188.0,2021-06-23
DEL VALLE,TX,78617,12804 BUENOS AIRES PKWY,324485.0,4,2.0,1830.0,30.168284,-97.623403,276155.0,2020-10-27
DEL VALLE,TX,78617,13109 LOFTON CLIFF DR,339000.0,3,2.0,2325.0,30.173677,-97.614833,339000.0,2022-10-21
DEL VALLE,TX,78617,11508 TICKFORD DR,330065.0,3,2.0,1832.0,30.160479,-97.648159,204517.0,2020-04-29
DEL VALLE,TX,78617,11525 TICKFORD DR,318689.0,3,2.0,1730.0,30.159687,-97.647783,288000.0,2023-04-18
DEL VALLE,TX,78617,12233 PALOMA BLANCA WAY,314693.0,2,2.0,1609.0,30.16882,-97.631046,335673.0,2022-03-08
DEL VALLE,TX,78617,6921 PANDA ROYLE DR,386413.0,3,2.0,2640.0,30.159405,-97.639305,366299.0,2023-05-08
DEL VALLE,TX,78617,12021 STONEY MEADOW DR,268927.0,3,2.0,2066.0,30.159016,-97.639585,368125.0,2023-10-30
DEL VALLE,TX,78617,12212 FERRYSTONE CV,246367.0,3,2.0,1640.0,30.160325,-97.636274,178125.0,2021-03-01
