gym_id,gym_name,gym_address,gym_ratings,latitude,longitude,zipcode
117,Orangetheory Fitness - Triangle,"4601 N. Lamar Blvd., Ste 508, Austin, TX 78751",3.5,30.31502,-97.73547,78751
118,SWEAT440 - Highland,"110 Jacob Fontaine Ln, Austin, TX 78752",5,30.325908,-97.715379,78752
119,STRIDE Fitness,"1611 W 5th St, Ste 135, Austin, TX 78703",5,30.2739251,-97.76409914,78703
120,Cowboys Fit,"1401 Town Center Dr, Pflugerville, TX 78660",4,30.465578,-97.601704,78660
121,Chris Gets U Fit,"917 W Anderson Ln, Ste F, Austin, TX 78757",5,30.34821,-97.71523,78757
122,HT Fitness,"2704 N Main St, Taylor, TX 76574",2.5,30.591283,-97.411715,76574
123,Athelite Training Center,"920 Old Mill Rd, Cedar Park, TX 78613",5,30.4750624,-97.8229433,78613
124,Orangetheory Fitness - Mueller,"1911 Aldrich St., Ste 175, Austin, TX 78723",5,30.298628,-97.704369,78723
125,Corespeed Gym,"1201 S Heatherwilde Blvd, Pflugerville, TX 78660",5,30.435205,-97.647469,78660
126,Drenched,"3080 Kyle Crossing, Ste 2, Kyle, TX 78640",5,30.023286,-97.854407,78640
127,Kilter Fitness,"5400 N Lamar Blvd, Ste 2008, Austin, TX 78752",5,30.32243703,-97.72880886,78752
128,Georgetown Recreation Center,"1003 N Austin Ave, Georgetown, TX 78626",3.5,30.6511924,-97.67356442,78626
129,Gold's Gym - Cedar Park,"1335 E Whitestone Blvd, Ste AB, Cedar Park, TX 78613",2.5,30.53018643,-97.81277144,78613
130,MADabolic - Austin,"440 E Saint Elmo Rd, Ste E-1, Austin, TX 78745",5,30.21655129,-97.76167821,78745
131,The Strength Warehouse,"9705 Burnet Rd, Unit 211, Austin, TX 78758",4,30.3803345,-97.72302448,78758
132,Northwest Family Branch YMCA,"5807 McNeil Dr, Austin, TX 78729",3.5,30.44606557,-97.73350439,78729
133,F45 Training South Shore Austin,"1604 E Riverside Dr, Austin, TX 78741",4.5,30.24564,-97.73073,78741
134,AKT,"2400 E 6th St, Austin, TX 78702",5,30.259764,-97.715994,78702
135,Sweat440 Zilker,"300 S Lamar Blvd, Ste O, Austin, TX 78704",5,30.262868,-97.758533,78704
136,30 Minute Hit -Austin,"3016 Guadalupe St, Ste A200, Austin, TX 78705",5,30.297492,-97.74176,78705
137,F45 Training Domain Austin,"3220 Amy Donovan Plz, Ste 124, Austin, TX 78758",4,30.39678,-97.72731,78758
138,LA Fitness,"16600 N Rm 620 Rd, Round Rock, TX 78681",3,30.49827307,-97.72367949,78681
139,Round Rock Sports Center,"2400 Chisholm Trl, Round Rock, TX 78681",3,30.53898943,-97.69740972,78681
140,KinetiCore Fitness,"4111 Marathon Blvd, Ste 140, Austin, TX 78756",5,30.31004,-97.74099,78756
141,HIT Center Austin,"920 Old Mill Rd, Cedar Park, TX 78613",5,30.4752979,-97.823761,78613
142,RIDE Indoor Cycling,"117 Lavaca St, Austin, TX 78701",4.5,30.26457,-97.74669,78701
143,Hays Communities YMCA,"465 Buda Sportsplex Dr, Buda, TX 78610",3.5,30.10652388,-97.87719727,78610
144,TrvFit Georgetown,"205 Cantera Way, Bldg 1, Georgetown, TX 78628",5,30.63480256,-97.76107441,78628
145,SoLa CrossFit,"2119 Goodrich Ave, Austin, TX 78704",5,30.248582,-97.772895,78704
146,MADabolic Austin North,"2900 W Anderson Ln, Ste B19, Austin, TX 78757",5,30.35916966,-97.73594579,78757
147,Black Widow MMA,"2007 Kramer Ln, Ste 101, Austin, TX 78758",5,30.38818,-97.71011,78758
148,Westerfeld Fitness,"9 Cousteau Ln, Westlake Hills, TX 78746",5,30.30902,-97.83207,78746
149,Orangetheory Fitness - Arbor Town Square,"10721 Research Blvd.,, Ste A-100, Austin, TX 78759",4,30.399103,-97.745007,78759
150,Of The Lion Fitness,"650 Canion St, Austin, TX 78752",5,30.33482,-97.71816,78752
151,HOTWORX- Austin,"11521 N Fm 620, Ste 925, Austin, TX 78726",4.5,30.45328504,-97.82725446,78726
152,CrossFit 2024,"2015 E Riverside Dr, Ste 7BB, Austin, TX 78741",4.5,30.240018,-97.728531,78741
153,F45 Training Four Points,"7900 N FM 620, Ste 130, Austin, TX 78726",5,30.41474,-97.85081,78726
154,Planet Fitness,"6425 S I-35, Ste 200, Austin, TX 78744",3.5,30.19029813,-97.76787347,78744
155,Practical Fitness Westlake Hills,"1715 S Capital Of Texas Hwy, Ste 102, Westlake Hills, TX 78746",5,30.27146,-97.81705,78746
156,TITLE Boxing Club,"13945 US Highway 183, Ste C-3, Austin, TX 78717",4.5,30.47275,-97.79695,78717
157,Springs Family YMCA,"27216 Ranch Rd 12, Drippings Springs, TX 78620",4.5,30.18637,-98.08476,78620
158,Mighty Fit,"5707 Southwest Pkwy, Bld 2, Austin, TX 78735",5,30.24337303,-97.84517,78735
159,Free Your Fitness 24,"12110 Manchaca Rd, Ste 400, Austin, TX 78748",5,30.168207,-97.8177601,78748
160,Coach Mo's Elite Fitness,"7119 Chimney Corners, Austin, TX 78731",4.5,30.35763,-97.76031,78731
161,Curves,"14611 Burnet Rd, Ste 107, Austin, TX 78728",3.5,30.45058511,-97.69512941,78728
162,CHASCO Family YMCA,"1801 N Is Hwy 35, Round Rock, TX 78664",3,30.52630771,-97.68810007,78664
163,CrossFit 737,"12707 Nutty Brown Rd, Austin, TX 78737",5,30.1983676,-97.9719937,78737
164,Sweat Athletics,"12129 RR 620 Ste 590, Austin, TX 78750",5,30.461174,-97.817017,78750
165,Hutto Fitness Center,"3750 Limmer Lp, Hutto, TX 78634",5,30.55812,-97.54488,78634
166,Smart Strength,"3636 Bee Caves Rd, Ste 106, Austin, TX 78746",5,30.27922,-97.8058,78746
167,Mayweather Boxing + Fitness,"11101 Burnet Rd, Ste 190, Austin, TX 78758",4.5,30.39573,-97.71953,78758
168,HT Fitness - Elgin,"195 US 290, Elgin, TX 78621",4.5,30.33785384,-97.3690021,78621
169,Orangetheory Fitness - Four Points,"7301 N FM 620, Ste 175, Austin, TX 78726",4.5,30.40541275,-97.85101457,78726
170,Wellington Standard Fitness,"12110 Manchaca Rd, Ste 400, Austin, TX 78748",5,30.14238,-97.83395,78748
171,CrossFit Strength Haven,"10604 Bluff Bend Dr, Ste A, Austin, TX 78753",5,30.36902,-97.67715,78753
172,Orangetheory Fitness South Austin,"9500 S Ih 35, Ste L800, Austin, TX 78748",4,30.165827,-97.792635,78748
173,Optimus Strength ATX,"900 Shelby Ln, Ste 10, Austin, TX 78745",5,30.21238,-97.75833,78745
174,Voodoo CrossFit 512,"9313 Anderson Mill Rd, Ste 100, Austin, TX 78729",5,30.45016808,-97.7840827,78729
175,CrossFit Rep,"10603 Metric Blvd, Ste 142, Austin, TX 78758",5,30.3844891,-97.7124405,78758
176,Raw Fitness,"9900 S Ih Frontage Rd, Bldg F Ste 200, Austin, TX 78749",5,30.1565504,-97.793543,78749
177,Practical Fitness,"11824 Jollyville Rd, Ste 104, Austin, TX 78759",5,30.42231891,-97.75600587,78759
178,Anytime Fitness,"11720 FM 1826, Austin, TX 78737",2.5,30.193467,-97.92510391,78737
179,Tao Health & Fitness,"4505 Terry-O Ln, Ste B201, Austin, TX 78745",5,30.21294702,-97.76041441,78745
180,HyperDrive Fitness,"2105 Pyramid Dr, Austin, TX 78734",5,30.383469,-97.940188,78734
181,The Phoenix Project Austin,"6448 E Hwy 290, C-104, Austin, TX 78723",5,30.3234714,-97.6951736,78723
182,Reframe Fitness,"12034 Research Blvd, Unit 2, Austin, TX 78759",5,30.42532,-97.7528,78759
183,Orangetheory Fitness - Tech Ridge,"12314 N Interstate Hwy 35, Ste 105, Austin, TX 78753",4,30.40052,-97.67504,78753
184,Northcross Fitness,"7739 Northcross Dr, Ste V, Austin, TX 78757",5,30.35598183,-97.73610687,78757
185,Anytime Fitness,"12101 W Parmer Ln, Cedar Park, TX 78613",5,30.52172024,-97.77487088,78613
186,SPENGA Austin Lakeline,"14010 US Hwy 183, Ste 560, Austin, TX 78717",5,30.47298156,-97.80130194,78717
187,F45 Training Cedar Park,"401 W Whitestone Blvd, Cedar Park, TX 78613",5,30.52024,-97.83396,78613
188,CrossFit Lake Travis,"5324 Reimers-Peacock Rd, Spicewood, TX 78669",5,30.35245951,-98.06624166,78669
189,CycleBar,"19230 IH 35, Ste 100, Kyle, TX 78640",5,30.02936293,-97.85094786,78640
190,Rumble Boxing,"4301 W William Cannon Dr, Ste B108, Austin, TX 78749",5,30.2218836,-97.84166716,78749
191,CrossFit Central,"6205 A-Burnet Rd, Austin, TX 78757",4.5,30.337075,-97.73884,78757
192,Austin Ninjas,"6001 W Parmer Ln, Ste 430, Austin, TX 78727",4.5,30.44169091,-97.74531831,78727
193,Gold's Gym - Austin Hester's Crossing,"2400 S Ih-35, Round Rock, TX 78681",2.5,30.48649657,-97.6792578,78681
194,Bat City Crossfit,"12400 Amherst Dr, Ste 104, Austin, TX 78727",5,30.4214624,-97.7158596,78727
