rest_id,rest_name,rest_address,rest_ratings,latitude,longitude
224,Juan In A Million,"2300 E Cesar Chavez St, Austin, TX 78702",4.0,30.2552660599625,-97.7190592909029
225,J’s Hibachi,"43 N IH-35 Service Rd, Austin, TX 78702",4.0,30.2551044,-97.7362835
226,Otherside Deli and Sub,"1104 W 34th St, Austin, TX 78705",4.5,30.30346,-97.74572
227,Bouldin Acres,"2027 S Lamar Blvd, Austin, TX 78704",4.0,30.24826991124225,-97.76866491890098
228,Love C Spot,"2027 E Cesar Chavez St, Austin, TX 78702",5.0,30.2560832,-97.7223636
229,Austin Daily Press,"1900 E Martin Luther King Blvd, B, Austin, TX 78702",4.0,30.2802176628505,-97.7211093269837
230,Fresa's - 360 and Westlake Dr,"3600 N Capital of Texas Hwy, Ste A110, Austin, TX 78746",4.5,30.334389747270887,-97.80814741554516
231,Tommy Want Wingy,"94 Rainey St, Austin, TX 78701",4.0,30.260690271156925,-97.73829918614452
232,bb.q Chicken - Austin,"6929 Airport Blvd, Ste 158, Austin, TX 78752",4.0,30.33719,-97.71732
233,L'Oca d'Oro,"1900 Simond Ave, Austin, TX 78723",4.0,30.29726271453722,-97.704674
234,WEH? Asian Fusion,"1023 Springdale Rd, Bldg 1 Ste I, Austin, TX 78721",5.0,30.267640741300028,-97.69392514489049
235,Bamboo House Austin,"7010 Easy Wind Dr, Austin, TX 78752",4.0,30.33919,-97.71833
236,Zoé Tong,"1530 Barton Springs Rd, Austin, TX 78704",4.5,30.262104,-97.761259
237,P Thai’s Khao Man Gai,"8557 Research Blvd, Ste 130, Austin, TX 78758",4.5,30.361521783671883,-97.7152364
238,Analog Bar + Bites,"301 West 17th St, Austin, TX 78701",4.0,30.2792498,-97.7416591
239,Forthright,"35 Brazos St, Austin, TX 78701",4.0,30.2627385695963,-97.7431046079346
240,Vespaio Ristorante,"1610 S Congress Ave, Austin, TX 78704",4.0,30.24735,-97.75074
241,Turf N Surf Po' Boy,"407 Lavaca St, Austin, TX 78701",4.5,30.2670779,-97.7456564
242,Josephine House,"1601 Waterson Ave, Austin, TX 78703",3.5,30.280582204041423,-97.759015
243,Tatsumi Sushi,"2700 W Anderson Ln, Ste 212, Austin, TX 78757",4.5,30.359108,-97.734542
244,La Volta Pizza Club,"900 W 10th St, Austin, TX 78703",4.5,30.27501,-97.751686
245,Sapori Italian Roots,"800 Brazos St, Ste 215, Austin, TX 78701",5.0,30.269996,-97.741054
246,Rayan Lebanese Cuisine,"1012 Clermont Ave, Austin, TX 78702",4.5,30.25498,-97.73608
247,Salt & Time,"1912 E 7th St, Austin, TX 78702",3.5,30.26266,-97.72113
248,Bureau De Poste,"4300 Speedway, Austin, TX 78751",4.0,30.307062213357064,-97.72991590030016
249,Julie's Noodles,"8557 Research Blvd, Ste 110, Austin, TX 78758",4.0,30.3611406172422,-97.7157957205178
250,Fukumoto Sushi & Yakitori,"514 Medina St, Austin, TX 78702",4.5,30.2647051303186,-97.731695353373
251,Renuka’s Kitchen,"1023 Springdale Rd, Unit 1, Austin, TX 78721",5.0,30.267597,-97.6926715
252,Mongers Market + Kitchen,"4119 Guadalupe St, Austin, TX 78751",4.0,30.30693,-97.73519
253,Paprika ATX,"6519 N Lamar Blvd, Austin, TX 78752",5.0,30.333323,-97.721302
254,NADC Burger,"1007 E 6th St, Austin, TX 78702",3.5,30.26482,-97.73221
255,Ramen Tatsu-Ya,"1234 S Lamar Blvd, Austin, TX 78704",4.0,30.253899793553,-97.7631825953722
256,The Well Westlake,"6317 Bee Caves Rd, Austin, TX 78746",4.5,30.296143528145905,-97.8328859
257,Fixe Austin's Southern House,"500 W 5th St, Austin, TX 78701",4.0,30.26853,-97.74773
