school_id,school_name,school_address,school_ratings,latitude,longitude,zipcode
182,Angels Care And Learning Center,"7806 S 1st St, Austin, TX 78745",5,30.1847694,-97.7922065,78745
183,The Joule School,"2001 W New Hope, Cedar Park, TX 78613",4.5,30.5261585,-97.862212,78613
184,Joshua's Stage,"Austin, TX 78756",5,30.32521248,-97.73834229,78756
185,A New Day Child Development Center,"5014 Bee Creek Rd, Unit A, Spicewood, TX 78669",5,30.334282,-98.024686,78669
186,Art Center of Williamson County,"2111 Sam Bass Rd, Round Rock, TX 78681",5,30.525913,-97.710296,78681
187,The Prickly Pear Cooking Classes,"Austin, TX 78702",5,30.26326544,-97.71431926,78702
188,Austin Community College - Pinnacle Campus,"7748 Highway 290 West, Austin, TX 78736",4.5,30.231757,-97.883387,78736
189,St Ignatius Martyr Catholic School,"120 W Oltorf St, Austin, TX 78704",5,30.23963,-97.75465,78704
190,Children's Discovery Center,"3515 Convict Hill Rd, Austin, TX 78749",5,30.211016,-97.833099,78749
191,Escuelita Dance,"2302 Western Trails, Austin, TX 78745",5,30.23095,-97.79348,78745
192,Petite Ecole Internationale,"831 Springdale Rd, Austin, TX 78702",5,30.259541,-97.698954,78702
193,Excelencia- Creative Bilingual Preschool,"501 Denali Pass Dr, Cedar Park, TX 78613",5,30.51859,-97.77585,78613
194,Austin School of Fashion Design,"9503 Research Blvd, Ste 250, Austin, TX 78759",4.5,30.38704757,-97.7420946,78759
195,Lee Elementary School,"3308 Hampton Rd, Austin, TX 78705",4,30.293195,-97.727199,78705
196,Wells Branch Leadership Academy,"15201 Burnet Rd, Austin, TX 78728",3.5,30.45880702,-97.69381836,78728
197,Tutu School - Austin,"8312 Burnet Rd, Ste 119, Austin, TX 78757",5,30.36403526,-97.72963149,78757
198,Austin Eco Bilingual School,"8707 Mountain Crest Dr, Austin, TX 78735",4,30.25565,-97.89341,78735
199,Abacus School of Austin,"14115 Avery Ranch Blvd, Austin, TX 78717",4,30.4938628,-97.7881613,78717
200,Mama Melli Childcare Center,"10802 Kit Carson Dr, Austin, TX 78737",5,30.20334619,-97.9572447,78737
201,Meridian School,"2555 N Ih 35, Round Rock, TX 78664",3.5,30.537972,-97.6900503,78664
202,Summer Wonders,"3901 Shoal Creek Blvd, Austin, TX 78756",3.5,30.30876103,-97.7482681,78756
203,Soraya's Child Care,"3012 Portola Ct, Austin, TX 78738",5,30.31065559,-97.92346191,78738
204,Austin School of Classical Ballet,"7756 Northcross Dr, Ste 104, Austin, TX 78757",5,30.3566605,-97.7372993,78757
205,St Mark's Episcopal Day School,"2128 Barton Hills Dr, Austin, TX 78704",5,30.253702,-97.785554,78704
