park_id,park_name,park_address,park_ratings,zipcode,latitude,longitude
391,Old Town Park,"1262 S Austin Ave, Georgetown, TX 78626",3.0,78626,30.630501180503856,-97.67871987135042
392,Ninth Street BMX Jumps,"800 9th St, Austin, TX 78701",5.0,78701,30.2730544,-97.7495581
393,Ridgewood North park,"1402 Ridgewood Dr, Leander, TX 78641",3.0,78641,30.564807551955475,-97.83244037294686
394,Highland Park North,"18805 Huntingtower Castle Blvd, Pflugerville, TX 78660",5.0,78660,30.4751238059917,-97.6114281163153
395,Norwood Estate Dog Park,"1009 Edgecliff Ter, Austin, TX 78704",3.5,78704,30.249328,-97.737106
396,Wells Creek Greenbelt,"13120 Metric Blvd, Austin, TX 78727",2.0,78727,30.42050260200793,-97.68388466681589
397,Heppner Bend park,"1208 Heppner Dr, Cedar Park, TX 78613",3.0,78613,30.46651,-97.82488
398,Narrows Recreation Area,"2550 Cr 411, Spicewood, TX 78669",2.0,78669,30.522394,-98.155943
399,Cedar Creek Park,"5540 Fm 535, Cedar Creek, TX 78612",5.0,78612,30.0819206,-97.4969864
400,Buttercup Creek Park,"411 Twin Oak Trl, Cedar Park, TX 78613",5.0,78613,30.502298193188203,-97.82611426153396
401,Jester Farms Neighborhood Park,"2539 Vernell Way, Round Rock, TX 78664",3.0,78664,30.53579042984645,-97.66172569060332
402,Mason Creek park,"801 Eagles Way, Leander, TX 78641",3.0,78641,30.566677596221485,-97.86066829775298
403,San Gabriel Park - Disc Golf Course,"1003 N Austin Ave, Georgetown, TX 78626",4.0,78626,30.65117,-97.67388
404,myrtle pfluger teer park,"Willow St & E Pecan St, Pflugerville, TX 78660",3.0,78660,30.43778107296512,-97.61556411515556
405,Earl J. Pomerleau Pocket Park,"1906 Patton Ln, Austin, TX 78723",3.0,78723,30.318343,-97.686881
406,Hancock Dog Park,"3307 Kim Ln, Austin, TX 78705",3.5,78705,30.29174,-97.72402
407,Calla Lilly park,"1350 Calla Lily Blvd, Leander, TX 78641",4.0,78641,30.56596777171777,-97.83067034902136
408,Brownie Nieghborhood park,"10000 Brownie Dr, Austin, TX 78753",2.0,78753,30.363972796126603,-97.68679577290813
409,Oak Ridge Park,"808 Birch Brook Ln, Leander, TX 78641",4.0,78641,30.563103389172,-97.83377753255112
410,Anderson Mill Limited District,"11500 El Salido Pkwy, Austin, TX 78750",3.5,78750,30.4498418907349,-97.8110787846131
411,Kelley Park,"805 W 17th St, Georgetown, TX 78626",3.0,78626,30.6294210440029,-97.6837095753934
412,Hatch Pond,"3301 Hatch Rd, Cedar Park, TX 78613",2.0,78613,30.462911,-97.8239849
413,Creekside Park,"305 Orchard Way, Hutto, TX 78634",4.0,78634,30.538794921770062,-97.54011738895538
414,Pfennig Park,"400 Immanuel Road, Pflugerville, TX 78660",3.0,78660,30.4325319,-97.6129043
415,Quail Creek Nieghborhood Park,"1101 Mearns Meadow Blvd, Austin, TX 78758",3.0,78758,30.368963566831525,-97.7012809
416,Town Center Park,"1906 Big Bend Dr, Cedar Park, TX 78613",4.0,78613,30.534031795736865,-97.82845517935536
417,Leander Veterans Park,"1011 Bagdad Rd, Leander, TX 78641",5.0,78641,30.5600365022472,-97.8624749556184
418,Katmai Circle Park,"Katmai Cir, Pflugerville, TX 78660",2.0,78660,30.464702087585916,-97.6233295839541
419,Chautauqua Park,"602 Rucker St, Georgetown, TX 78626",3.5,78626,30.637352880675,-97.6843805128479
420,Sarita Valley,"3009 Silver Fountain Dr, Leander, TX 78641",2.0,78641,30.581278,-97.802422
421,Heritage Park,"901 Old Austin Hutto Rd, Pflugerville, TX 78660",3.0,78660,30.4426134588855,-97.6068139744495
422,Turkey Bend Recreation Area,"4906 Shaw Dr, Marble Falls, TX 78654",3.5,78654,30.5034152872674,-98.1102449186856
423,Pflugerville Heights Park,"18301 Stevie Ray Dr, Pflugerville, TX 78660",3.0,78660,30.48089704875477,-97.6371530528
424,Plumbago Greenbelt,"505 Plumbago Dr, Pflugerville, TX 78660",1.0,78660,30.43686394139981,-97.6034139537732
425,Carriage Hills Park,"1801 Lakeline Blvd, Cedar Park, TX 78613",2.0,78613,30.525542985143115,-97.85519873128956
426,Treeline Park,"1400 Treeline Dr, Cedar Park, TX 78613",2.0,78613,30.516338066276127,-97.84921957765526
427,Zilker Park Kite Festival,"Austin, TX 78704",4.0,78704,30.243501663208,-97.7655715942383
428,St John Park,"901 Wilks Ave, Austin, TX 78752",1.0,78752,30.3324741125107,-97.7000769227743
429,New Hope Park,"1900 N Lakeline Blvd, Cedar Park, TX 78613",1.0,78613,30.52651332196408,-97.85427941401672
430,Timberwood park,"1914 Ascot Ln, Cedar Park, TX 78613",1.0,78613,30.52902190672701,-97.84719932690588
431,Millrun Park,"12100 Millwright Pkwy, Austin, TX 78750",3.5,78750,30.4516620635986,-97.8031921386719
432,Springbrook Apts Parkland,"1201 New Meister Ln, Pflugerville, TX 78660",2.0,78660,30.4808227889872,-97.63019748941676
433,Chandler Park,"106 Spring Valley Rd, Georgetown, TX 78628",4.5,78628,30.6535069038292,-97.6976752752944
434,Morris Park & Pool,"803 N Avenue C, Elgin, TX 78621",4.0,78621,30.3508563236003,-97.3765850951466
435,Memorial Park,"11400 Lake Creek Pkwy, Austin, TX 78750",2.0,78750,30.46009,-97.81505
436,River Ranch County Park,"219 Perry Mayfield, Leander, TX 78641",3.0,78641,30.56138789260516,-97.7672911
437,Janet Bartles Park,"1111 Buttercup Creek Blvd, Cedar Park, TX 78613",4.0,78613,30.497892115330497,-97.83527918984284
438,River Chase Park,"878 Memorial Dr, Georgetown, TX 78628",2.0,78628,30.634664936990873,-97.70615867442288
439,House Park,"1212 Rio Grande St, Austin, TX 78701",4.5,78701,30.27652,-97.74761
440,"Lakeview Pavillion, Old Settlers Park","3300 E Palm Valley Blvd, Round Rock, TX 78665",5.0,78665,30.526414,-97.634935
441,Wells Branch MUD,"2106 Klattenhoff Dr, Austin Tx, TX 78728",4.5,78728,30.442169085145,-97.679570093751
442,Ron Rigsby Park,"1110 Little Elm Park, Austin, TX 78758",1.0,78758,30.36435,-97.70514
443,Hidalgo park,"1403 Welch St, Taylor, TX 76574",1.0,76574,30.564753031002443,-97.42292881760606
444,Plum Creek Dog Park,"Fairway, Kyle, TX 78640",2.5,78640,30.015539,-97.882793
445,Agave Neighborhood park,"5900 Sendero Hills Pkwy, Austin, TX 78724",3.0,78724,30.29148662591339,-97.64693109324656
446,Williams School park,"605 Blue Valley Dr, Austin, TX 78748",3.0,78748,30.18232828964128,-97.7907889144317
447,City of Elgin,"802 N Avenue C, Elgin, TX 78621",4.0,78621,30.35071,-97.37681
448,Buck Egger Park,"900 S Mays St, Round Rock, TX 78664",4.0,78664,30.50195,-97.67714
449,Buttermilk Branch Greenbelt,"7500 Meador Ave, Austin, TX 78752",2.0,78752,30.33249,-97.69438
450,Hunters Chase Park,"12400 Hunters Chase Dr, Austin, TX 78729",3.0,78729,30.44491989636819,-97.77030050754549
451,City of Round Rock,"301 Deepwood Dr, Round Rock, TX 78681",4.0,78681,30.507309,-97.69892
452,Amber Oaks Park,"13601 Briarwick Dr, Austin, TX 78729",3.0,78729,30.46931000142602,-97.769658
453,St.John's Park,"889 Wilks Ave, Austin, TX 78752",2.0,78752,30.33268781922016,-97.70019132501666
454,Bowman Park,"950 E Bowman Rd, Round Rock, TX 78664",3.0,78664,30.52942929226096,-97.67157420431604
455,Wells Point Park,"800 S Heatherwilde Blvd, Pflugerville, TX 78660",3.5,78660,30.4405876087557,-97.6459253403571
456,Austin Affordable Fitness,"708 Robert E Lee Rd, Austin, TX 78704",5.0,78704,30.262825,-97.7670593
457,Wild Rose park,"700 Cluck Creek Trl, Cedar Park, TX 78613",3.0,78613,30.498465,-97.827108
458,Wells Branch Dog Park,"3000 Shoreline Dr, Austin, TX 78728",2.5,78728,30.4544459,-97.6829712
459,Harper Park,"Deerbrook Trail & Lake Creek Pkwy, Austin, TX 78750",4.0,78750,30.45855864156687,-97.81045372669136
460,Schieffer Tract,"3404 Hycreek Dr, Austin, TX 78723",1.0,78723,30.307179135587237,-97.67091901660228
461,Del Valle Adult Softball Fields,"3614 FM 973, Austin, TX 78617",3.5,78617,30.200602,-97.643523
462,El Salido Park,"11449 Morning Glory Trl, Austin, TX 78750",4.5,78750,30.45546,-97.81957
463,Horizon park,"300 Presidio Dr, Leander, TX 78641",4.0,78641,30.5553629274106,-97.83949380233108
464,City of Hutto,"306 E Live Oak St, Hutto, TX 78634",4.0,78634,30.5468611,-97.5423962
465,Gilleland Creek Park,"700 N Railroad Ave, Pflugerville, TX 78660",4.0,78660,30.4445788201472,-97.6188700273633
466,Sunchase Park,"2450 Sunchase Blvd, Cedar Park, TX 78613",3.5,78613,30.4809,-97.84039
467,Westview Meadow Park,"903 Municipal Dr, Leander, TX 78641",4.0,78641,30.570956258738786,-97.86607593471844
468,Spectrum Trail Racing,"410 Pressler, Austin, TX 78703",5.0,78703,30.2719498,-97.7613983
469,Lennar Walsh Trails,"503 Walsh Hill Trl, Cedar Park, TX 78613",3.0,78613,30.52435,-97.75535
470,Old Mill Gazebo,"1215 Old Mill Rd, Cedar Park, TX 78613",4.0,78613,30.473325,-97.829126
